Player\Team,ATL,BKN,BOS,CHA,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOH,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS
Andre Miller,#N/A,#N/A,#N/A,#N/A,#N/A,271,#N/A,262,#N/A,#N/A,#N/A,#N/A,286,#N/A,#N/A,#N/A,#N/A,171,#N/A,#N/A,#N/A,#N/A,339,#N/A,226,319,275,#N/A,#N/A,288
Brian Roberts,#N/A,#N/A,#N/A,222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,171,#N/A,#N/A,#N/A,#N/A,#N/A,276,#N/A,#N/A,#N/A,#N/A,#N/A
Ty Jerome,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,237,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,171,#N/A,#N/A,184,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Greg Howard,#N/A,#N/A,#N/A,#N/A,#N/A,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,171,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Oliver Miller,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,235,#N/A,332,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A,266,#N/A,321,#N/A,171,#N/A,#N/A
Grant Jerrett,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,171,#N/A
Jack Givens,172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Steve Hamer,#N/A,#N/A,172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jalen McDaniels,#N/A,#N/A,#N/A,172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,326,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dennis Hopson,#N/A,224,#N/A,#N/A,172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,212,#N/A,#N/A,#N/A,#N/A
Roy Hinson,#N/A,220,#N/A,#N/A,#N/A,172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,211,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Conner Henry,#N/A,#N/A,188,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172,#N/A,#N/A,#N/A,#N/A,#N/A,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,197,#N/A,#N/A,#N/A,#N/A
Wil Jones,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172,225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Eric Mobley,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172,#N/A,289,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Harold Miner,#N/A,#N/A,#N/A,#N/A,#N/A,274,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Brad Miller,#N/A,#N/A,#N/A,178,250,#N/A,#N/A,#N/A,#N/A,#N/A,269,221,#N/A,#N/A,#N/A,#N/A,#N/A,172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,320,#N/A,#N/A,#N/A,#N/A
Nate Robinson,#N/A,#N/A,372,#N/A,300,#N/A,#N/A,314,#N/A,418,#N/A,#N/A,360,#N/A,#N/A,#N/A,#N/A,#N/A,172,396,292,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Billy Garrett,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Robin Jones,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,213,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172,#N/A,#N/A,#N/A,#N/A,#N/A
Brian Heaney,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,172
Michael McDonald,#N/A,#N/A,#N/A,173,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
John Holland,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
John Jenkins,251,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,239,#N/A,#N/A,#N/A,183,#N/A,#N/A,#N/A,#N/A,#N/A,205
Mike Higgins,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A,#N/A,#N/A,#N/A,#N/A,203,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,202,#N/A,#N/A,#N/A,#N/A
Charles Jordan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Ja Morant,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Todd Mitchell,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,279,#N/A,#N/A,#N/A
Rodney Rogers,#N/A,414,373,#N/A,#N/A,#N/A,#N/A,317,#N/A,#N/A,#N/A,#N/A,361,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A,#N/A,#N/A,420,324,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Isaiah Joe,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A,240,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Amal McCaskill,336,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173,321,#N/A,#N/A,#N/A,264,#N/A,#N/A,#N/A
Luther Green,#N/A,195,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Steve Jones,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A,215,#N/A,#N/A,#N/A
Donté Greene,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A,#N/A,#N/A,#N/A
Greg Monroe,#N/A,#N/A,296,#N/A,#N/A,#N/A,#N/A,#N/A,342,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,292,177,#N/A,#N/A,#N/A,#N/A,346,268,#N/A,#N/A,#N/A,173,228,291
Eric Johnson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,173,#N/A
Cecil Hankins,#N/A,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bryce McGowens,#N/A,#N/A,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Yi Jianlian,#N/A,244,#N/A,#N/A,#N/A,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,209,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,207
Devin Green,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Darius Morris,#N/A,347,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,292,320,174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,349,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jamario Moon,#N/A,#N/A,#N/A,183,#N/A,282,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,288,#N/A,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175,#N/A,#N/A
Rajon Rondo,453,#N/A,376,#N/A,303,341,286,#N/A,#N/A,#N/A,#N/A,#N/A,362,387,#N/A,#N/A,#N/A,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,409,#N/A,#N/A,#N/A,#N/A
Jack George,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Avery Johnson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,176,197,#N/A,239,197,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A,191,#N/A,#N/A,#N/A
Eddie Jordan,#N/A,264,#N/A,#N/A,#N/A,211,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,246,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,174,#N/A,#N/A,#N/A,#N/A,#N/A
Wayne Hightower,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175,209,208,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,174,#N/A,#N/A,175
Eric Montross,#N/A,341,297,#N/A,#N/A,#N/A,236,#N/A,344,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,347,#N/A,#N/A,#N/A,#N/A,174,#N/A,#N/A
Phil Hankinson,#N/A,#N/A,175,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Nenê,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,176,#N/A,#N/A,175,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,176
Kevin Joyce,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jerry Grote,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Lawrence Moten,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,295
Markieff Morris,#N/A,348,#N/A,#N/A,#N/A,#N/A,239,#N/A,353,#N/A,#N/A,#N/A,#N/A,321,#N/A,175,#N/A,#N/A,#N/A,#N/A,244,#N/A,#N/A,275,#N/A,#N/A,#N/A,#N/A,#N/A,292
Josh Minott,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sean Rooks,454,#N/A,#N/A,#N/A,#N/A,#N/A,287,#N/A,#N/A,#N/A,#N/A,#N/A,363,388,#N/A,#N/A,#N/A,221,175,#N/A,#N/A,222,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Clay Johnson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,230,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Mark McNamara,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,307,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175,334,#N/A,#N/A,309,271,#N/A,#N/A,#N/A
Chandler Hutchison,#N/A,#N/A,#N/A,#N/A,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175,#N/A,#N/A,#N/A,#N/A,#N/A,195
Derek Grimm,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,175,#N/A,#N/A,#N/A,#N/A
Reggie Hanson,#N/A,#N/A,176,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jeff McInnis,#N/A,330,#N/A,176,#N/A,262,#N/A,256,#N/A,#N/A,#N/A,#N/A,279,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,219,#N/A,#N/A,#N/A,#N/A,279
R.J. Hunter,#N/A,#N/A,205,#N/A,176,#N/A,#N/A,#N/A,#N/A,#N/A,184,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Dick Groat,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,176,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Butch Joyner,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,176,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Xavier Munford,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,176,#N/A,296,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
John Morton,#N/A,#N/A,#N/A,#N/A,#N/A,285,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,176,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jerome Henderson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,198,#N/A,#N/A,176,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Sam Mitchell,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,226,#N/A,#N/A,#N/A,#N/A,#N/A,176,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
John Salmons,#N/A,#N/A,#N/A,#N/A,311,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,355,#N/A,176,#N/A,#N/A,#N/A,427,#N/A,#N/A,411,#N/A,213,#N/A,#N/A
Greg Jackson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,232,#N/A,#N/A,#N/A,176,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jeff Judkins,#N/A,#N/A,230,#N/A,#N/A,#N/A,#N/A,#N/A,252,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,176,#N/A,#N/A,#N/A,178,#N/A
Simmie Hill,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,176,#N/A,#N/A,#N/A
Eric Moreland,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,349,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,272,#N/A,330,#N/A,176,#N/A,#N/A
Ricky Grace,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Glenn Hagan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bill Keller,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Eric Murdock,#N/A,352,#N/A,#N/A,#N/A,#N/A,#N/A,274,#N/A,#N/A,#N/A,#N/A,296,#N/A,177,179,297,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,236,#N/A
Alonzo Mourning,#N/A,350,#N/A,185,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Tomáš Satoranský,#N/A,#N/A,#N/A,#N/A,315,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,356,#N/A,#N/A,375
Dakari Johnson,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Jerry Greenspan,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Darrun Hilliard,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,211,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,177,#N/A,#N/A,#N/A
Juwan Morgan,#N/A,#N/A,300,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,177,231,#N/A
Damian Jones,262,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,247,#N/A,#N/A,#N/A,238,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,198,#N/A,242,#N/A,#N/A,177,#N/A
Gary Hill,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,209,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,177
Paul Graham,178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Derrick Gervin,#N/A,177,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bob Harris,#N/A,#N/A,178,#N/A,#N/A,#N/A,#N/A,#N/A,193,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Anthony Jones,#N/A,#N/A,#N/A,#N/A,188,#N/A,178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,205,#N/A,#N/A,217
Julius Hodge,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,185,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Happy Hairston,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,178,#N/A,#N/A,#N/A,#N/A,178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,179,#N/A,#N/A,#N/A,#N/A
Clark Kellogg,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
Bernie Harris,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,178,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
